sr_no,date,startup_name,industry_vertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
876,2017-08-04,FastFox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000.0,2017,8
877,2017-10-04,Omnify,Technology,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,150000.0,2017,10
878,2017-10-04,Capital Float,Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000.0,2017,10
879,2017-11-04,Ninjacart,eCommerce,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000.0,2017,11
880,2017-11-04,MergerWare,Technology,Bangalore,Philippe Bouchet,Seed Funding,100000.0,2017,11
882,2017-12-04,Clovia,eCommerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000.0,2017,12
883,2017-12-04,Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,4500000.0,2017,12
884,2017-12-04,HackerEarth,Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000.0,2017,12
885,2017-12-04,Squadrun,Technology,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,2100000.0,2017,12
925,2017-01-03,Ola,Consumer Internet,Bangalore,SoftBank Group Corp,Private Equity,330000000.0,2017,1
926,2017-01-03,Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private Equity,10000000.0,2017,1
929,2017-02-03,Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1500000.0,2017,2
930,2017-02-03,Karomi,Technology,Chennai,Ideaspring Capital,Seed Funding,500000.0,2017,2
931,2017-02-03,Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private Equity,2500000.0,2017,2
933,2017-02-03,CreditMantri,Consumer Internet,Chennai,Quona Capital,Private Equity,7600000.0,2017,2
935,2017-03-03,Tydy,Technology,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,275000.0,2017,3
937,2017-03-03,Oho Shop,Technology,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,6700000.0,2017,3
939,2017-03-03,Paytm Marketplace,ECommerce,Bangalore,Alibaba,Private Equity,200000000.0,2017,3
940,2017-04-03,iGenetics,Healthcare,Mumbai,CDC Group Plc,Private Equity,19500000.0,2017,4
941,2017-06-03,Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed Funding,1200000.0,2017,6
942,2017-06-03,Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,150000.0,2017,6
943,2017-06-03,PickMe,Consumer Internet,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000.0,2017,6
944,2017-07-03,Agrostar,Technology,Pune,Accel Partners,Private Equity,10000000.0,2017,7
945,2017-07-03,Zapr,Technology,Bangalore,Star India Pvt Ltd,Private Equity,10000000.0,2017,7
